num_execve,num_distinct_children,num_file_opens,num_file_renames,num_file_deletes,num_distinct_files_touched,num_connect,num_distinct_dest_ips,num_setuid,syscall_rate
1,0,8,0,0,9,0,0,0,8079.277461239667
2,11,27,0,0,15,0,0,0,7161.243547472624
2,0,2172,0,0,457,0,0,0,62765.367005903754
2,0,15,0,0,15,0,0,0,5355.204408152259
0,0,0,0,1,1,0,0,0,1000.0
0,8,1,0,0,1,0,0,0,1000.0
0,0,13,0,0,10,0,0,0,13000.0
10,0,38,0,0,40,0,0,0,9311.805215658498
10,0,145,0,0,139,0,0,0,4564.790247299132
10,0,33,0,0,33,0,0,0,8678.728215130737
10,0,12,0,0,16,0,0,0,5539.283211716693
0,4,13,0,1,10,2,1,0,5.315836136426056
